team_key,forca_alvo,forca_modelo,erro,prob_mercado
spain,0.9927521303462434,0.9775694827810274,0.015182647565216034,0.1579156321429141
france,1.0,1.0,0.0,0.1493297221109953
england,0.8353424698371354,0.9124582939408472,0.07711582410371176,0.1015620637151492
portugal,0.807495833053065,0.7564627840835538,0.05103304896951122,0.09897028919464092
argentina,0.7631283307226199,0.7918947355176047,0.028766404794984823,0.08248997502423351
brazil,0.8121480498160512,0.7393264112062371,0.07282163860981405,0.08245196415820148
germany,0.6877503984119901,0.6966637399423098,0.00891334153031964,0.05196464450703745
netherlands,0.6243516282137583,0.6393529283882792,0.015001300174520837,0.04298156155151311
norway,0.5505194718592974,0.5483938026393341,0.0021256692199632665,0.02402436936292529
belgium,0.45881681265530605,0.527982973215497,0.06916616056019098,0.02186522984448706
colombia,0.49059347529400754,0.5142997400489484,0.023706264754940864,0.01829957956073172
mexico,0.4840833419621776,0.48627394455169237,0.0021906025895147563,0.01687189304116805
japan,0.5423176047936459,0.4448809283758019,0.09743667641784398,0.01605304389934837
morocco,0.4857392675085791,0.440739276992549,0.0449999905160301,0.01512546838571182
usa,0.4302599285091079,0.42900357643495873,0.0012563520741491474,0.01310418729452917
switzerland,0.4187367187667065,0.4546053445041822,0.035868625737475734,0.01087862028728613
uruguay,0.40526678173566344,0.46522710990943666,0.059960328173773225,0.01011107450748067
turkey,0.40253701525660046,0.5130888250664094,0.11055180980980894,0.009623214908493124
ecuador,0.4635249031942088,0.4999169913143538,0.036392088120144994,0.009080260592780257
croatia,0.3894899177583631,0.4862739158925983,0.09678399813423516,0.00826473879515628
senegal,0.43079626768916723,0.47470147556257436,0.043905207873407126,0.007124171653053561
austria,0.3387988341878576,0.3742158286499894,0.03541699446213181,0.004433067099917269
sweden,0.34737962602530026,0.33709611922011856,0.010283506805181697,0.004256706793415277
canada,0.30208879118482435,0.4073381162034974,0.10524932501867307,0.003963107609630707
cote d'ivoire,0.3323093004618985,0.3504108157277616,0.018101515265863122,0.003816976850581519
bosnia and herzegovina,0.30009760405847913,0.16532905536028727,0.13476854869819185,0.002957450096236827
czech republic,0.29999605604266155,0.28407379283570244,0.01592226320695911,0.00295491356183034
scotland,0.29575684863804563,0.30743087109059986,0.011674022452554222,0.002849994749160186
paraguay,0.29137833904320043,0.3504101889757215,0.059031849932521085,0.002743619235009687
dr congo,0.2780657912202484,0.20394949897949619,0.0741162922407522,0.00243261892125928
korea republic,0.25683913044067463,0.2888087498719152,0.03196961943124055,0.00237938333296771
egypt,0.2649051611789624,0.22497227351490248,0.03993288766405992,0.002143551213816706
iraq,0.2637458617337286,0.127751676362111,0.13599418537161762,0.002118963648250239
algeria,0.24605329443384633,0.3344419813913857,0.08838868695753938,0.001761321430381814
ghana,0.2305867357134802,0.12775160041180508,0.10283513530167512,0.001667111882569939
australia,0.2365942839642372,0.2814247113488867,0.044830427384649485,0.001583666028903867
iran,0.2144232230163305,0.2566649486667271,0.04224172565039663,0.00120426067631156
tunisia,0.20338984063757926,0.15984986766065123,0.04353997297692802,0.001034781305577817
south africa,0.19587417661368098,0.07351831878491721,0.12235585782876376,0.0009266921094949746
saudi arabia,0.18160218502561676,0.11808385045071332,0.06351833457490344,0.0007941600787418918
panama,0.18576453030279283,0.22352166277783553,0.0377571324750427,0.0007906986343586445
qatar,0.15,0.003035384016936046,0.14696461598306396,0.0007690380804539083
new zealand,0.1823582537789853,0.09917856841454505,0.08317968536444025,0.0007473071586850977
cape verde,0.18151621369161716,0.1155045435677391,0.06601167012387806,0.0007367694316619185
uzbekistan,0.180449909980194,0.22497222825790666,0.044522318277712664,0.0007235325236807926
jordan,0.18044880820600218,0.179531977200515,0.0009168310054871731,0.0007235189085024303
haiti,0.17850745062540563,0.09550488521055532,0.08300256541485031,0.0006997275534968726
curacao,0.178147209734807,0.011737611302672585,0.1664095984321344,0.0006953565472661911
